trial,context,question,correct,incorrect,scores_target,scores_distractor
55,"Cyborg (comics) -- Cyborg is a fictional superhero appearing in American comic books published by DC Comics . The character was created by writer Marv Wolfman and artist George Pérez and first appears in a special insert in DC Comics Presents #26 (October 1980). Originally known as a member of the Teen Titans, Cyborg was established as a founding member of the Justice League in DC's 2011 reboot of its comic book titles and subsequently in the 2016 relaunch of its continuity. However, he has since been re-established as a past member of the Teen Titans again.",is cyborg a member of the justice league,Yes,No,-2.9806814193725600,-3.2645044326782200
56,"Certified copy -- A certified copy is a copy (often a photocopy) of a primary document that has on it an endorsement or certificate that it is a true copy of the primary document. It does not certify that the primary document is genuine, only that it is a true copy of the primary document.",is a certified copy the same as an original uk,No,Yes,-2.7423715591430700,-3.355130910873410
57,"List of specialized agencies of the United Nations -- The World Bank Group is part of the United Nations system and has a formal relationship agreement with the UN, but retains its independence. The WBG comprises a group of five legally separate but affiliated institutions: the International Bank for Reconstruction and Development (IBRD), the International Finance Corporation (IFC), the International Development Association (IDA), the Multilateral Investment Guarantee Agency (MIGA), and the International Centre for Settlement of Investment Disputes (ICSID). It is a vital source of financial and technical assistance to developing countries around the world. Its mission is to fight poverty with passion and professionalism for lasting results and to help people help themselves and their environment by providing resources, sharing knowledge, building capacity and forging partnerships in the public and private sectors. The WBG headquarters are located in Washington, D.C., United States of America.",is the world bank affiliated with the united nations,Yes,No,-2.5961382389068600,-3.006554126739500
58,Nissan Titan -- The Nissan Titan is a full-size pickup truck manufactured in the United States for the North American market by Nissan. It was named for the Titans of Greek mythology.,is a nissan titan a full size truck,Yes,No,-2.5686519145965600,-2.983476400375370
59,"U.S. history of alcohol minimum purchase age by state -- From 1976 to 1983, several states voluntarily raised their purchase ages to 19 (or, less commonly, 20 or 21), in part to combat drunk driving fatalities. In 1984, Congress passed the National Minimum Drinking Age Act, which required states to raise their ages for purchase and public possession to 21 by October 1986 or lose 10% of their federal highway funds. By mid-1988, all 50 states and the District of Columbia had raised their purchase ages to 21 (but not Puerto Rico, Guam, or the Virgin Islands, see Additional Notes below). South Dakota and Wyoming were the final two states to comply with the age 21 mandate. The current drinking age of 21 remains a point of contention among many Americans, because of it being higher than the age of majority (18 in most states) and higher than the drinking ages of most other countries. The National Minimum Drinking Age Act is also seen as a congressional sidestep of the tenth amendment. Although debates have not been highly publicized, a few states have proposed legislation to lower their drinking age, while Guam has raised its drinking age to 21 in July 2010.",is there a state where the drinking age is 18,No,Yes,-2.6134071350097700,-3.106060266494750
60,"Skunks as pets -- Although capable of living indoors with humans similarly to cats or dogs, pet skunks are relatively rare, partly due to restrictive laws and the complexity of their care. Pet skunks are mainly kept in the United States, Canada, Germany, the Netherlands, Poland, and Italy.",can u have a skunk as a pet,Yes,No,-2.83445405960083,-2.802321195602420
61,"Fred Sirieix -- He lives in Peckham, south London. During an interview for the Daily Mail in 2016, Sirieix said that he was living with his former partner and their two children, but was in a new relationship. In 2018, Sirieix announced he was in a relationship, referring to his partner only as his 'fruitcake'.",does fred from first dates have a partner,Yes,No,-3.060619831085210,-3.1627674102783200
62,"Grade retention -- ``Grade retention'' or ``grade repetition'' is the process of a kindergarten through twelfth grade student repeating the same grade due to failing it the previous year, these students are referred to as ``repeaters''. Repeaters can also be referred to as having been ``held back''. Students do not necessarily repeat in the same classroom, only the same grade.",can you get held back in elementary school,Yes,No,-2.7194933891296400,-2.9400689601898200
63,"Assist (basketball) -- In basketball, an assist is attributed to a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ``assisting'' in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist. An assist can be scored for the passer even if the player who receives the pass makes a basket after dribbling the ball. However, the original definition of an assist did not include such situations, so the comparison of assist statistics across eras is a complex matter.",can you give yourself an assist in basketball,No,Yes,-3.0326170921325700,-3.288257598876950
64,"iPad Mini (1st generation) -- On June 13, 2016, Apple announced the iOS 10 update - with some major updates to the mobile operating system. However, the iPad Mini did not receive this update (along with other devices using the A5 processor including the iPhone 4S, iPad 2, iPad (3rd generation), and iPod Touch (5th generation)) due to hardware limitations.",can ipad mini 1st generation get ios 10,No,Yes,-2.156853199005130,-3.3852133750915500
65,Alphonse Areola -- He also represented France at every youth level and was part of the France U20 side that won the FIFA U-20 World Cup in 2013 and the senior side that won the 2018 FIFA World Cup trophy.,did alphonse areola play in world cup 2018,Yes,No,-3.1343393325805700,-3.135171413421630
66,"An American in Paris (film) -- An American in Paris was an enormous success, garnering eight Academy Award nominations and winning six, as well as earning other industry honors. In 1993, it was selected for preservation by the United States Library of Congress in the National Film Registry for being ``culturally, historically, or aesthetically significant.'' It is ranked #9 among AFI's Greatest Movie Musicals.",did an american in paris win an oscar,Yes,No,-2.827857732772830,-3.1826894283294700
67,"Pregnancy over age 50 -- Pregnancy over age 50 has, over recent years, become possible for more women, and more easily achieved for many, due to recent advances in assisted reproductive technology, in particular egg donation. Typically, a woman's fecundity ends with menopause, which by definition is 12 consecutive months without having had any menstrual flow at all. During perimenopause, the menstrual cycle and the periods become irregular and eventually stop altogether, but even when periods are still regular, the egg quality of women in their forties is lower than in younger women, making the likelihood of conceiving a healthy baby also reduced, particularly after age 42. It is important to note, that the female biological clock can vary greatly from woman to woman. A woman's individual level of fertility can be tested through a variety of methods.",can i get pregnant at 52 years old,Yes,No,-3.107226848602300,-3.0823683738708500
68,"Dynamite -- In actuality, aside from both being high explosives, TNT and Dynamite have very little in common: TNT is a 2nd generation castable explosive adopted by the military a full sixty years after Dynamite, which is a 1st generation phlegmatized explosive primarily intended for civilian earthmoving. TNT has never been popular or widespread in civilian earthmoving, as it is considerably more expensive and less powerful by weight than Dynamite, as well as being slower to mix and pack into cylindrical boreholes; for its part, Dynamite has never been popular in warfare because it degenerates quickly under severe conditions and can be detonated by either fire or a wayward bullet. TNT's primary asset is its remarkable insensitivity and stability: a full generation better than Dynamite, it is waterproof and incapable of detonating without the extreme shock and heat provided by a blasting cap (or a sympathetic detonation); this conveniently also allows it to be melted at 178 °F, poured into high explosive shells and allowed to re-solidify with no extra danger or change in the TNT's characteristics. As such, more than 90% of the TNT produced in America was always for the military market, with most filling shells, hand grenades and aerial bombs and the remainder being packaged in brown ``bricks'' (not red cylinders) for use as demolition charges by combat engineers.",is there a difference between dynamite and tnt,Yes,No,-2.892580270767210,-2.7110791206359900
69,"Halo: Combat Evolved -- Halo: Combat Evolved is a 2001 military science fiction first-person shooter video game developed by Bungie and published by Microsoft Game Studios. The first game of the Halo franchise, it was released as a launch title for the Xbox gaming system on November 15, 2001. More than five million copies were sold worldwide by November 2005. Microsoft released versions of the game for Microsoft Windows and Mac OS X in 2003, and the surrounding storyline was adapted and elaborated into a series of novels, comic books, and live-action web series. The game was later released as a downloadable Xbox Original for the Xbox 360. A high-definition remake, Halo: Combat Evolved Anniversary, was released for Xbox 360 on the 10th anniversary of the original game's launch, and was rereleased as part of Halo: The Master Chief Collection on November 11, 2014, for the Xbox One.",is halo combat evolved the first halo game,Yes,No,-2.956650733947750,-3.065600872039800
70,"Tata Motors -- Founded in 1945 as a manufacturer of locomotives, the company manufactured its first commercial vehicle in 1954 in a collaboration with Daimler-Benz AG, which ended in 1969. Tata Motors entered the passenger vehicle market in 1988 with the launch of the TataMobile followed by the Tata Sierra in 1991, becoming the first Indian manufacturer to achieve the capability of developing a competitive indigenous automobile. In 1998, Tata launched the first fully indigenous Indian passenger car, the Indica, and in 2008 launched the Tata Nano, the world's cheapest car. Tata Motors acquired the South Korean truck manufacturer Daewoo Commercial Vehicles Company in 2004 and purchased Jaguar Land Rover from Ford in 2008.",is jaguar and land rover owned by tata,Yes,No,-2.635941505432130,-3.0623321533203100
71,"1998 Stanley Cup Finals -- The 1998 Stanley Cup Finals was the championship series of the National Hockey League's (NHL) 1997--98 season, and the culmination of the 1998 Stanley Cup playoffs. It was contested by the Western Conference champion and defending Stanley Cup champion Detroit Red Wings and the Eastern Conference champion Washington Capitals. It was the 105th year of the Stanley Cup being contested. The series was the Capitals' first appearance in a Stanley Cup Final since the franchise's inception in 1974. The Red Wings won the series for the second year in a row, four games to none. It was the Wings' ninth Stanley Cup, and the most recent time when a Finals concluded with a sweep (as of 2018). This was also the last time until 2002 that a Stanley Cup Finals ended after an NBA Finals in the same season had concluded. Detroit coach Scotty Bowman won his eighth Stanley Cup in that capacity (having previously done so with the Montreal Canadiens in 1973, 1976, 1977, 1978, and 1979, the Pittsburgh Penguins in 1992, and the Wings the previous year), tying him with former Canadiens coach Toe Blake for the record of most Cups won by a coach (which he would break when he helped the Red Wings win the 2002 Cup).",have the washington capitals ever been in a stanley cup,Yes,No,-3.175398588180540,-3.1031017303466800
72,"The Sound of Music (film) -- The Sound of Music is a 1965 American musical drama film produced and directed by Robert Wise, and starring Julie Andrews and Christopher Plummer, with Richard Haydn and Eleanor Parker. The film is an adaptation of the 1959 stage musical of the same name, composed by Richard Rodgers with lyrics by Oscar Hammerstein II. The film's screenplay was written by Ernest Lehman, adapted from the stage musical's book by Lindsay and Crouse. Based on the memoir The Story of the Trapp Family Singers by Maria von Trapp, the film is about a young Austrian woman studying to become a nun in Salzburg, Austria in 1938 who is sent to the villa of a retired naval officer and widower to be governess to his seven children. After bringing and teaching love and music into the lives of the family through kindness and patience, she marries the officer and together with the children they find a way to survive the loss of their homeland through courage and faith.",is the sound of music set in austria,Yes,No,-2.6270813941955600,-3.315269947052000
73,"Nuclear power in the United States -- As of September 2017, there are two new reactors under construction with a gross electrical capacity of 2,500 MW, while 34 reactors have been permanently shut down. The United States is the world's largest producer of commercial nuclear power, and in 2013 generated 33% of the world's nuclear electricity.",are there any nuclear power plants being built in the us,Yes,No,-2.9021663665771500,-2.768768072128300
74,"NCIS: New Orleans (season 4) -- The fourth season of NCIS: New Orleans premiered on September 26, 2017 on CBS. The series continues to air following Bull, Tuesday at 10:00 p.m. (ET) and contained 24 episodes. The season concluded on May 15, 2018.",is ncis new orleans over for the season,Yes,No,-3.17197322845459,-2.9498586654663100
75,"Italian meal structure -- Italian meal structure is typical of the Mediterranean region and different from meal structure of Northern Europe / Northwestern Europe and Germanic and Slavic Europe, though it still often consists of breakfast, lunch, and supper. However, much less emphasis is placed on breakfast, and breakfast itself is often skipped or involves lighter meal portions than are seen in other non-Mediterranean Western countries. Late-morning and mid-afternoon snacks, called merenda (plural merende), are also often included in this meal structure. Italians also commonly divide a celebratory meal into several different courses.",are breakfast lunch and dinner always served in italy,No,Yes,-2.6187381744384800,-3.1842169761657700
76,"Sheet pan -- A sheet pan, baking tray or baking sheet is a flat, rectangular metal pan used in an oven. It is often used for baking bread rolls, pastries and flat products such as cookies, sheet cakes, swiss rolls and pizzas.",is a cookie sheet the same as a sheet pan,Yes,No,-2.7594194412231400,-2.6808547973632800
77,"Worcestershire sauce -- The ``flavourings'' are believed to include cloves, soy sauce, lemons, pickles and peppers.",is soy sauce and worcester sauce the same,No,Yes,-2.692674160003660,-3.4874587059021000
78,"Ford Escape -- At the time, larger sport utility vehicles tended to use pickup truck-based, body-on-frame designs. Other car makers, Jeep, Toyota and Honda had been offering smaller unibody designs, the Jeep Cherokee (XJ), RAV4 and CR-V respectively. Solid rear axles were commonly used on the full sized truck based SUVs and Jeep Cherokee due to their ability to carry heavy loads at the expense of a comfortable ride and good handling. Ford and Mazda decided to offer a car-like, unibody design with a fully independent suspension and rack and pinion steering similar to the RAV4 and CR-V, the Escape. Although not meant for serious off-roading, a full-time all-wheel-drive (AWD) system supplied by Dana was optional, which included a locking center differential activated by a switch on the dashboard. The AWD system normally sends most of the power from the engine to the front wheels. If slipping is detected at the front, more power will be sent to the rear wheels in a fraction of a second. The four wheel drive system was a newer version of Ford's ``Control Trac'' 4x4 system, dubbed the Control Trac II 4WD in the Escape. This system allowed the front wheels to receive 100% of the torque until a slip was detected. Using a Rotary Blade Coupling, the rear wheels could be sent up to 100% of the power in fractions of a second. When switching the system from ``Auto'' to ``On,'' the front and rear axles are locked at a 50/50 split; the reaction time necessary to engage the rear wheels is reduced via an integrated bypass clutch. The Control Trac II system allows for a four-wheel drive vehicle without the use of a center differential. The entire braking system was built by Continental Teves, including the ABS and various related suspension components. CKD production began in 2002 at Ford Lio Ho Motor Co. in Taiwan for various Asian markets.",is ford escape a 4 wheel drive vehicle,Yes,No,-2.9624593257904100,-2.8583579063415500
79,"Death of a Bachelor -- Death of a Bachelor is the fifth studio album by American rock band Panic! at the Disco, released January 15, 2016 on Fueled by Ramen and DCD2. It is the follow-up to the band's fourth studio album, Too Weird to Live, Too Rare to Die! (2013), with the entire album written and recorded by vocalist/multi-instrumentalist Brendon Urie, among external writers. It is the band's first album to not feature drummer Spencer Smith and also follows bassist Dallon Weekes' departure from the official line-up, subsequently becoming a touring member once again.",did brendon urie wrote death of a bachelor,Yes,No,-3.0137710571289100,-3.0709316730499300
80,"Separation of church and state in the United States -- ``Separation of church and state'' is paraphrased from Thomas Jefferson and used by others in expressing an understanding of the intent and function of the Establishment Clause and Free Exercise Clause of the First Amendment to the Constitution of the United States which reads: ``Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof...''",does the first amendment separate church and state,Yes,No,-3.128973960876470,-3.1892940998077400
81,"Houston Texans -- The Houston Texans joined the league at the 2002 NFL season, playing at the newly founded Reliant Stadium. With their opening game victory over the Dallas Cowboys that season, the team became the first expansion team to win its opening game since the Minnesota Vikings beat the Chicago Bears in 1961. While the team struggled in early seasons, results began to improve once native Houstonian Gary Kubiak became the head coach in 2006. The Texans finished with a .500 season (8-8) in both 2007 and 2008, and nearly qualified for the 2009--10 NFL playoffs with a 9--7 result in 2009. In 2010, the team started the season on a 4--2 record going into a Week 7 bye week, but promptly collapsed 2--8 in the second part of the season, finishing 6--10. In the 2011 NFL Draft, the Texans acquired Wisconsin star defensive end J.J. Watt eleventh overall. The following season, former Cowboys head coach Wade Phillips was hired as the defensive coordinator of the Texans, and the improved defense led to the Texans finishing 10--6, winning their first AFC South title. The Texans then beat wild card Cincinnati Bengals 31--10 in the first round of the 2011--12 NFL playoffs, before a 20--13 defeat by the Ravens in the semifinals.",have the houston texans ever won a playoff game,Yes,No,-3.132988452911380,-2.898665428161620
82,"United States Air Force in the United Kingdom -- Since 1942 the United States has maintained air bases in the United Kingdom. Major Commands of the USAF having bases in the United Kingdom were the United States Air Forces in Europe (USAFE), Strategic Air Command (SAC), and Air Mobility Command (AMC).",are there us military bases in the uk,Yes,No,-2.7406368255615200,-3.093278408050540
83,"T. Rex (band) -- On 18 March 1972, T. Rex played two shows at the Empire Pool, Wembley, which were filmed by Ringo Starr and his crew for Apple Films. A large part of the second show was included on Bolan's own rock film Born to Boogie, while bits and pieces of the first show can be seen throughout the film's end-credits. Along with T. Rex and Starr, Born to Boogie also features Elton John, who jammed with the friends to create rocking studio versions of ``Children of the Revolution'' and ``Tutti Frutti''; Elton John had appeared on TV with Bolan before, miming the piano part of ``Get it On'' on the 1971 Christmas edition of Top of the Pops.",did elton john ever play with t rex,Yes,No,-3.1566030979156500,-3.040184736251830
84,"List of sign languages -- There are perhaps three hundred sign languages in use around the world today. The number is not known with any confidence; new sign languages emerge frequently through creolization and de novo (and occasionally through language planning). In some countries, such as Sri Lanka and Tanzania, each school for the deaf may have a separate language, known only to its students and sometimes denied by the school; on the other hand, countries may share sign languages, though sometimes under different names (Croatian and Serbian, Indian and Pakistani). Deaf sign languages also arise outside educational institutions, especially in village communities with high levels of congenital deafness, but there are significant sign languages developed for the hearing as well, such as the speech-taboo languages used in aboriginal Australia. Scholars are doing field surveys to identify the world's sign languages.",does every country have their own sign language,No,Yes,-2.7296435832977300,-2.969651222229000
85,"Freepost -- Freepost is a postal service provided by various postal administrations, whereby a person sends mail without affixing postage, and the recipient pays the postage when collecting the mail. Freepost differs from self-addressed stamped envelopes, courtesy reply mail, and metered reply mail in that the recipient of the freepost pays only for those items that are actually received, rather than for all that are distributed.",do i need a stamp if it says freepost,No,Yes,-2.6221323013305700,-3.3915276527404800
86,"Hornet -- Hornets have stings used to kill prey and defend hives. Hornet stings are more painful to humans than typical wasp stings because hornet venom contains a large amount (5%) of acetylcholine. Individual hornets can sting repeatedly; unlike honey bees, hornets and wasps do not die after stinging because their stingers are not barbed and are not pulled out of their bodies.",do bees and hornets have the same venom,No,Yes,-2.4589734077453600,-3.690093517303470
87,"Identity documents in the United States -- The birth certificate is the initial identification document issued to parents shortly after the birth of their child. The birth certificate is typically issued by local governments, usually the city or county where a child is born. It is an important record, often called a ``feeder document,'' because it establishes U.S. citizenship through birthright citizenship, which is then used to obtain, or is the basis for, all other identity documents. By itself, the birth certificate is usually only considered proof of citizenship but not proof of identity, since it is issued without a photograph at birth, containing no identifying features. A birth certificate is normally produced along with proof of identity, such as a driver's license or the testimony of a third party (such as a parent), to establish identity or entitlement to a service.",does birth certificate count as a form of id,No,Yes,-3.2123892307281500,-2.8778939247131300
88,"Lisa Cuddy -- The relationship between House and Cuddy is known by the portmanteau term ``Huddy''. Cuddy has what USA Today's Peter Johnson terms a ``cat-and-mouse'' relationship with House. Edelstein has described it as ``a really complicated, adult relationship'', explaining: ``These are people who have very full lives and lots of responsibilities that perhaps conflict with their feelings for each other.'' The actress ``would love for them to have a (romantic) relationship, because it could be as complicated as the rest of their relationship'', however, she is unsure how it would affect the dynamics of the show. Jacobs commented at the end of the show's third season: ``I can't see them pairing them in a permanent fashion. But they are close; they have gone through a lot together. Might there be a moment of weakness in which the two might explore their chemistry? Maybe.'' Questioned at the end of the fourth season on whether Cuddy and House would ever consummate their relationship on-screen, Jacobs responded: ``there is heat and chemistry between them and I never want to see that go away because that is the essence of their relationship. (...) we'll never ignore (their chemistry) because, as I said, it's the very essence of them. She wouldn't forgive him over and over again if he wasn't so brilliant in her eyes, clearly she's got a soft spot for him. And he has one for her. You will continue to see that.'' Prior to the beginning of the fifth season, series creator David Shore discussed his intention to further the relationship between the two, as: ``If House is capable of any relationship with anyone, it's Cuddy. We can't have them dancing around forever.'' Following the fifth season revelation that House had hallucinated a physical relationship with Cuddy, Shore commented on the storyline's continuation into the sixth season: ``it would be dishonest to just let that disappear. Obviously House has feelings for her. Even though the love affair didn't happen, in House's mind it did.'' Edelstein does not know whether the two characters will eventually end up together, however believes that the combination of frustration and love Cuddy feels for House ``makes for a very interesting relationship'', as: ``there's a great deal of admiration and respect, and also an incredible amount of annoyance and frustration, which is like how most relationships are in your life.'' As of the very end of the Sixth Season finale, Help Me, House and Cuddy appear to have entered a romantic relationship. In the closing minutes of the episode, House came very close to relapsing and taking vicodin once again, at which point Cuddy entered to tell him that she had ended her relationship with Lucas. She professed her love for House, which led to them kissing briefly. A close-up shot of their clasped hands (House's left, Cuddy's right) was the closing shot of the episode, as well as the season. The relationship later ends in season 7; in the episode ``Bombshells''.",do house and cuddy get back together in season 8,No,Yes,-3.08455753326416,-3.2498221397399900
89,"Staten Island Ferry -- The MV Guy V. Molinari, MV Senator John J. Marchi, and MV Spirit of America, known as the ``Molinari class'', carry a maximum of 4,427 passengers and up to 30 vehicles. Each boat is 310 feet (94 m) long by 70 feet (21 m) wide and has a draft of 13 feet 10 inches (4.22 m), tonnage of 2,794 gross tons, service speed of 16 knots (30 km/h), and engines of 9,000 horsepower (6.7 MW). Built by the Manitowoc Marine Group in Marinette, Wisconsin, they are designed to have a look and ambiance reminiscent of the classic New York ferryboats.",can cars go on the staten island ferry,Yes,No,-2.9237945079803500,-2.7555694580078100
90,"Chuck Hughes -- Charles Frederick ``Chuck'' Hughes (March 2, 1943 -- October 24, 1971) was an American football player, a wide receiver in the National Football League from 1967 to 1971. He is, to date, the only NFL player to die on the field during a game.",has any nfl player died on the field,Yes,No,-2.8833723068237300,-2.952662467956540
91,"500 Days of Summer -- The style of film is presented in a nonlinear narrative. Each scene is introduced using a title card showing which of the 500 days it is. Co-writer of the film Scott Neustadter admitted the film was based on a real romance. Neustadter explains that when he met the real girl who inspired the character Summer as a student at the London School of Economics in 2002, he was rebounding from a bad breakup back home, and promptly fell ``crazily, madly, hopelessly in love'' with the girl who ``returned his kisses but not his ardor.'' The ending of the relationship was ``painfully and unforgettably awful,'' which prompted him to co-write the film with Michael H. Weber. When Neustadter later showed the script to Summer's real life counterpart, she said she related more to the Tom character. Weber also stated that, ``we've all been in the trenches of love, we've all gone through the highs and lows, so Scott and I felt that the only way to tell this story was to come at it from a completely real place. It was pretty interesting for us because Scott was just going through a break-up and I was in a long-term relationship, so we each brought a totally opposite perspective, living it and not living it, and I think that tension helped to bring out more of the comedy''.",is 500 days of summer based on a true story,Yes,No,-3.0306506156921400,-3.0436930656433100
92,"Check (chess) -- In informal games, it is customary to announce ``check'' when making a move that puts the opponent's king in check. In formal competitions, however, check is rarely announced.",is it required to say check in chess,No,Yes,-3.0108158588409400,-3.6753463745117200
93,"Ground squirrel -- The ground squirrels are members of the squirrel family of rodents (Sciuridae) which generally live on or in the ground, rather than trees. The term is most often used for the medium-sized ground squirrels, as the larger ones are more commonly known as marmots (genus Marmota) or prairie dogs, while the smaller and less bushy-tailed ground squirrels tend to be known as chipmunks. Together, they make up the ``marmot tribe'' of squirrels, Marmotini, and the large and mainly ground squirrel subfamily Xerinae, and containing six living genera. Well-known members of this largely Holarctic group are the marmots (Marmota), including the American groundhog, the chipmunks, the susliks (Spermophilus), and the prairie dogs (Cynomys). They are highly variable in size and habitus, but most are remarkably able to rise up on their hind legs and stand fully erect comfortably for prolonged periods. They also tend to be far more gregarious than other squirrels, and many live in colonies with complex social structures. Most Marmotini are rather short-tailed and large squirrels, and the alpine marmot (Marmota marmota) is the largest living member of the Sciuridae, at 53--73 cm in length and weighing 5--8 kg.",is a chipmunk the same as a ground squirrel,No,Yes,-2.8183109760284400,-3.1251654624939000
94,"The Whole Ten Yards -- The Whole Ten Yards is a 2004 American crime comedy film directed by Howard Deutch and sequel to the 2000 film The Whole Nine Yards. It was based on characters created by Mitchell Kapner, who was the writer of the first film. The film stars Bruce Willis, Matthew Perry, Amanda Peet, Natasha Henstridge, and Kevin Pollak. It was released on April 7, 2004 in North America. Unlike the first film, which was a commercial success despite receiving mixed reviews, The Whole Ten Yards was a major critical and commercial failure.",is there a sequel to the whole nine yards,Yes,No,-2.4796900749206500,-2.807779550552370
95,"Member states of the League of Nations -- The League's greatest extent was from 28 September 1934 (when Ecuador joined) to 23 February 1935 (when Paraguay withdrew) with 58 members. At this time, only Costa Rica (22 January 1925), Brazil (14 June 1926), Japan (27 March 1933) and Germany (19 September 1933) had withdrawn and only Egypt was left to join (on 26 May 1937). The members (listed from earliest joining and alphabetically if they joined on the same day) at this time were Argentina, Australia, Belgium, Bolivia, the British Empire, Canada, Chile, China, Colombia, Cuba, Czechoslovakia, Denmark, El Salvador, France, Greece, Guatemala, Haiti, Honduras, India, Italy, Liberia, the Netherlands, New Zealand, Nicaragua, Norway, Panama, Paraguay, Persia/Iran, Peru, Poland, Portugal, Romania, Siam, South Africa, Spain, Sweden, Switzerland, Uruguay, Venezuela, Yugoslavia, Austria, Bulgaria, Finland, Luxembourg, Albania, Estonia, Latvia, Lithuania, Hungary, the Irish Free State, Ethiopia, the Dominican Republic, Mexico, Turkey, Iraq, the Soviet Union, Afghanistan, and Ecuador.",was poland part of the league of nations,Yes,No,-2.862154245376590,-3.100156545639040
96,"TracFone Wireless -- Straight Talk is another operator, through a partnership between TracFone and Walmart, offering several different rate plans; a $30 limited plan, $35, $45, and $55 30-day unlimited plans and a $60 unlimited international calling plan. Discounts are available for purchasing multiple months of the unlimited plan. Straight Talk is a Mobile Virtual Network operator (MVNO) offering both CDMA and GSM support. The CDMA network uses Verizon's or Sprint's CDMA 1xRTT wireless networks and the GSM side makes use of either T-Mobile's or AT&T's GSM networks.",will a straight talk phone work with tracfone,Yes,No,-2.8289875984191900,-2.7489068508148200
97,"Telus Mobility -- Bell Mobility, which shares towers and coverage with Telus, intends to expand LTE coverage to 98% of the Canadian population by the end of 2016. As a consequence, Telus' coverage will similarly expand. In April 2015, Telus announced that all of its wireless sites in British Columbia and Alberta will be upgraded to LTE. According to Telus, as of March 31, 2016, it had LTE coverage available 97% of the Canadian population and LTE Advance coverage available to 50% of the Canadian population.",do bell and telus use the same towers,Yes,No,-2.7251663208007800,-2.908527374267580
98,"Linseed oil -- Linseed oil, also known as flaxseed oil or flax oil, is a colourless to yellowish oil obtained from the dried, ripened seeds of the flax plant (Linum usitatissimum). The oil is obtained by pressing, sometimes followed by solvent extraction. Linseed oil is a drying oil, meaning it can polymerize into a solid form. Due to its polymer-forming properties, linseed oil can be used on its own or blended with combinations of other oils, resins or solvents as an impregnator, drying oil finish or varnish in wood finishing, as a pigment binder in oil paints, as a plasticizer and hardener in putty, and in the manufacture of linoleum. Linseed oil use has declined over the past several decades with increased availability of synthetic alkyd resins--which function similarly but resist yellowing.",is flax oil and linseed oil the same,Yes,No,-3.1402666568756100,-3.047297477722170
99,"Colt AR-15 -- The Colt AR-15 is a lightweight, 5.56×45mm, magazine-fed, gas-operated semi-automatic rifle. It was designed to be manufactured with extensive use of aluminum alloys and synthetic materials. It is a semi-automatic version of the United States military M16 rifle. Colt's Manufacturing Company currently uses the AR-15 trademark for its line of semi-automatic AR-15 rifles that are marketed to civilian and law-enforcement customers.",is ar-15 used in the military,No,Yes,-2.90657639503479,-2.713712453842160
100,"List of U.S. Department of Defense agencies -- This is a list of Agencies under the United States Department of Defense (DoD) which was formerly and shortly known as the National Military Establishment. Its main responsibilities are to control the Armed Forces of the United States. The Department was established in 1947 and is currently divided into three major Departments--the Department of the Army, Navy and Air Force--and has a military staff of 1,418,542 (553,044 US Army; 329,304 US Navy; 202,786 US Marine Corps; 333,408 US Air Force). The DoD is headed by the Secretary of Defense. The current defense secretary is James Mattis.",is the army under the department of defense,Yes,No,-2.632242202758790,-2.934962749481200
101,"Orphan -- An orphan (from the Greek: ορφανός orphanós) is someone whose parents have died, are unknown, or have permanently abandoned them.",do your parents have to be dead to be an orphan,Yes,No,-3.439880847930910,-2.8419179916381800
102,"Belgium–Netherlands relations -- Belgian--Dutch relations refer to interstate relations between the Belgium and the Netherlands. It can be seen as one of the closest international relationships in existence, marked by shared history, culture, institutions and language, extensive people-to-people links, aligned security interests, sporting tournaments and vibrant trade and investment cooperation. Relations were established after Belgium became independent from the United Kingdom of the Netherlands in 1839. Both nations are great allies with cultural similarities and close cooperation between both governments. The language spoken in Belgium is known as Nederlands/Dutch, is the most-spoken language in both countries. Approximately 35,000 Belgian nationals live in the Netherlands, while there are around 111,000 Dutch nationals in Belgium.",are the netherlands and belgium the same country,No,Yes,-2.8016552925109900,-3.402305841445920
103,"Venomoid -- A venomoid is a venomous snake that has undergone a surgical procedure to remove or inhibit the production of snake venom. This procedure has been used for venomous snakes kept as pets or used in public demonstrations in order to remove the risk of injury or death when handled. The removal of venom glands or fangs of exhibited animals may be by surgery or simple mutilation; some or all of these procedures have been considered illegal and unethical. Removal of fangs is uncommon, as snakes frequently regenerate teeth, and the more invasive procedure of removing the underlying maxillary bone would be fatal. Most venomoid procedures consist of either removing the venom gland itself, or severing the duct between the gland and the fang. However, the duct and gland have been known to regenerate, and supposedly ``safe'' snakes have killed mice and successfully envenomated humans.",can you remove the venom glands from a snake,Yes,No,-2.794071912765500,-3.305130958557130
104,"iPhone SE -- The previous major redesign of the iPhone, the 4.7-inch iPhone 6 and 5.5-inch iPhone 6 Plus, resulted in larger screen sizes. However a significant number of customers still preferred the 4-inch screen size of the iPhone 5 and 5S. Apple stated in their event that they sold 30 million 4-inch iPhones in 2015.",is the iphone se before the iphone 6,No,Yes,-2.683913230896000,-3.0566296577453600
